#,key,name,parent,region,rid,pid,in,count
1,213,Москва,Столицы,Россия,225,225X,Москве,12198
2,2,Санкт-Петербург,Столицы,Россия,225,225X,Санкт-Петербурге,5192
3,4,Белгород,Белгородская область,Центр,3,10645,Белгороде,384
4,10646,Губкин,Белгородская область,Центр,3,10645,Губкине,87
5,10649,Старый Оскол,Белгородская область,Центр,3,10645,Старом Осколе,221
6,20192,Алексеевка,Белгородская область,Центр,3,10645,Алексеевке,38
7,20196,Шебекино,Белгородская область,Центр,3,10645,Шебекино,42
8,20587,Строитель,Белгородская область,Центр,3,10645,Строителе,57
9,191,Брянск,Брянская область,Центр,3,10650,Брянске,407
10,10653,Клинцы,Брянская область,Центр,3,10650,Клинцах,62
11,192,Владимир,Владимирская область,Центр,3,10658,Владимире,353
12,10661,Гусь-Хрустальный,Владимирская область,Центр,3,10658,Гусе-Хрустальном,56
13,10664,Ковров,Владимирская область,Центр,3,10658,Коврове,140
14,10668,Муром,Владимирская область,Центр,3,10658,Муроме,111
15,10656,Александров,Владимирская область,Центр,3,10658,Александрове,59
16,10663,Киржач,Владимирская область,Центр,3,10658,Киржаче,27
17,37129,Покров,Владимирская область,Центр,3,10658,Покрове,17
18,193,Воронеж,Воронежская область,Центр,3,10672,Воронеже,1024
19,10681,Россошь,Воронежская область,Центр,3,10672,Россоши,62
20,5,Иваново,Ивановская область,Центр,3,10687,Иваново,409
21,10689,Кинешма,Ивановская область,Центр,3,10687,Кинешме,84
22,10691,Шуя,Ивановская область,Центр,3,10687,Шуе,58
23,6,Калуга,Калужская область,Центр,3,10693,Калуге,343
24,967,Обнинск,Калужская область,Центр,3,10693,Обнинске,109
25,10697,Малоярославец,Калужская область,Центр,3,10693,Малоярославце,28
26,7,Кострома,Костромская область,Центр,3,10699,Костроме,276
27,8,Курск,Курская область,Центр,3,10705,Курске,435
28,20086,Железногорск,Красноярский край,Сибирь,59,11309,Железногорске,84
29,20707,Курчатов,Курская область,Центр,3,10705,Курчатове,38
30,9,Липецк,Липецкая область,Центр,3,10712,Липецке,510
31,10713,Елец,Липецкая область,Центр,3,10712,Ельце,106
32,10,Орёл,Орловская область,Центр,3,10772,Орле,320
33,11,Рязань,Рязанская область,Центр,3,10776,Рязани,533
34,10773,Касимов,Рязанская область,Центр,3,10776,Касимове,30
35,12,Смоленск,Смоленская область,Центр,3,10795,Смоленске,330
36,10782,Вязьма,Смоленская область,Центр,3,10795,Вязьме,53
37,10783,Гагарин,Смоленская область,Центр,3,10795,Гагарине,29
38,10801,Ярцево,Смоленская область,Центр,3,10795,Ярцево,45
39,13,Тамбов,Тамбовская область,Центр,3,10802,Тамбове,289
40,10803,Мичуринск,Тамбовская область,Центр,3,10802,Мичуринске,94
41,14,Тверь,Тверская область,Центр,3,10819,Твери,414
42,10807,Вышний Волочёк,Тверская область,Центр,3,10819,Вышнем Волочке,48
43,10811,Кимры,Тверская область,Центр,3,10819,Кимрах,46
44,10820,Ржев,Тверская область,Центр,3,10819,Ржеве,60
45,10805,Бологое,Тверская область,Центр,3,10819,Бологом,21
46,10812,Конаково,Тверская область,Центр,3,10819,Конаково,39
47,10824,Удомля,Тверская область,Центр,3,10819,Удомле,28
48,15,Тула,Тульская область,Центр,3,10832,Туле,488
49,10828,Ефремов,Тульская область,Центр,3,10832,Ефремове,36
50,10830,Новомосковск,Тульская область,Центр,3,10832,Новомосковске,127
