#,key,name,parent,region,rid,pid,in,count,extra
1,US-1,New York,New York,,,,,8550,40.6643##73.9385
2,US-2,Los Angeles,California,,,,,3972,34.0194#118.4108
3,US-3,Chicago,Illinois,,,,,2721,41.8376##87.6818
4,US-4,Houston,Texas,,,,,2296,29.7805##95.3863
5,US-5,Philadelphia,Pennsylvania,,,,,1567,40.0094##75.1333
6,US-6,Phoenix,Arizona,,,,,1563,33.5722#112.0880
7,US-7,San Antonio,Texas,,,,,1470,29.4724##98.5251
8,US-8,San Diego,California,,,,,1395,32.8153#117.1350
9,US-9,Dallas,Texas,,,,,1300,32.7757##96.7967
10,US-10,San Jose,California,,,,,1027,37.2969#121.8193
11,US-11,Austin,Texas,,,,,932,30.3072##97.7560
12,US-12,Jacksonville,Florida,,,,,868,30.3370##81.6613
13,US-13,San Francisco,California,,,,,865,37.7751#122.4193
14,US-14,Indianapolis,Indiana,,,,,853,39.7767##86.1459
15,US-15,Columbus,Ohio,,,,,850,39.9848##82.9850
16,US-16,Fort Worth,Texas,,,,,833,32.7795##97.3463
17,US-17,Charlotte,North Carolina,,,,,827,35.2087##80.8307
18,US-18,Seattle,Washington,,,,,684,47.6205#122.3509
19,US-19,Denver,Colorado,,,,,683,39.7618#104.8806
20,US-20,El Paso,Texas,,,,,681,31.8484#106.4270
21,US-21,Detroit,Michigan,,,,,677,42.3830##83.1022
22,US-22,Washington,District of Columbia,,,,,672,38.9041##77.0171
23,US-23,Boston,Massachusetts,,,,,667,42.3320##71.0202
24,US-24,Memphis,Tennessee,,,,,656,35.1035##89.9785
25,US-25,Nashville,Tennessee,,,,,655,36.1718##86.7850
26,US-26,Portland,Oregon,,,,,632,45.5370#122.6500
27,US-27,Oklahoma City,Oklahoma,,,,,631,35.4671##97.5137
28,US-28,Las Vegas,Nevada,,,,,624,36.2277#115.2640
29,US-29,Baltimore,Maryland,,,,,622,39.3002##76.6105
30,US-30,Louisville,Kentucky,,,,,615,38.1781##85.6667
31,US-31,Milwaukee,Wisconsin,,,,,600,43.0633##87.9667
32,US-32,Albuquerque,New Mexico,,,,,559,35.1056#106.6474
33,US-33,Tucson,Arizona,,,,,532,32.1543#110.8711
34,US-34,Fresno,California,,,,,520,36.7827#119.7945
35,US-35,Sacramento,California,,,,,491,38.5666#121.4686
36,US-36,Kansas City,Missouri,,,,,475,39.1252##94.5511
37,US-37,Long Beach,California,,,,,474,33.8091#118.1553
38,US-38,Mesa,Arizona,,,,,472,33.4019#111.7174
39,US-39,Atlanta,Georgia,,,,,464,33.7629##84.4227
40,US-40,Colorado Springs,Colorado,,,,,457,38.8673#104.7607
41,US-41,Virginia Beach,Virginia,,,,,453,36.7793##76.0240
42,US-42,Raleigh,North Carolina,,,,,451,35.8302##78.6414
43,US-43,Omaha,Nebraska,,,,,444,41.2647##96.0419
44,US-44,Miami,Florida,,,,,441,25.7752##80.2086
45,US-45,Oakland,California,,,,,419,37.7699#122.2256
46,US-46,Minneapolis,Minnesota,,,,,411,44.9633##93.2683
47,US-47,Tulsa,Oklahoma,,,,,404,36.1279##95.9023
48,US-48,Wichita,Kansas,,,,,390,37.6907##97.3427
49,US-49,New Orleans,Louisiana,,,,,390,30.0686##89.9390
50,US-50,Arlington,Texas,,,,,388,32.7007##97.1247
51,US-51,Cleveland,Ohio,,,,,388,41.4781##81.6795
52,US-52,Bakersfield,California,,,,,374,35.3212#119.0183
53,US-53,Tampa,Florida,,,,,369,27.9701##82.4797
54,US-54,Aurora,Colorado,,,,,359,39.7082#104.8235
55,US-55,Honolulu,Hawaii,,,,,353,21.3259#157.8453
56,US-56,Anaheim,California,,,,,351,33.8555#117.7601
57,US-57,Santa Ana,California,,,,,335,33.7365#117.8826
58,US-58,Corpus Christi,Texas,,,,,324,27.7543##97.1734
59,US-59,Riverside,California,,,,,322,33.9381#117.3932
60,US-60,St. Louis,Missouri,,,,,316,38.6357##90.2446
61,US-61,Lexington,Kentucky,,,,,314,38.0402##84.4584
62,US-62,Stockton,California,,,,,306,37.9763#121.3133
63,US-63,Pittsburgh,Pennsylvania,,,,,304,40.4398##79.9766
64,US-64,Saint Paul,Minnesota,,,,,301,44.9489##93.1039
65,US-65,Anchorage,Alaska,,,,,299,61.2176#149.8953
66,US-66,Cincinnati,Ohio,,,,,299,39.1399##84.5064
67,US-67,Henderson,Nevada,,,,,286,36.0122#115.0375
68,US-68,Greensboro,North Carolina,,,,,285,36.0965##79.8271
69,US-69,Plano,Texas,,,,,284,33.0508##96.7479
70,US-70,Newark,New Jersey,,,,,282,40.7242##74.1726
71,US-71,Toledo,Ohio,,,,,280,41.6641##83.5819
72,US-72,Lincoln,Nebraska,,,,,277,40.8090##96.6804
73,US-73,Orlando,Florida,,,,,271,28.4159##81.2988
74,US-74,Chula Vista,California,,,,,266,32.6277#117.0152
75,US-75,Jersey City,New Jersey,,,,,264,40.7114##74.0648
76,US-76,Chandler,Arizona,,,,,261,33.2829#111.8549
77,US-77,Fort Wayne,Indiana,,,,,260,41.0882##85.1439
78,US-78,Buffalo,New York,,,,,258,42.8925##78.8597
79,US-79,Durham,North Carolina,,,,,258,35.9810##78.9056
80,US-80,St. Petersburg,Florida,,,,,257,27.7620##82.6441
81,US-81,Irvine,California,,,,,257,33.6784#117.7713
82,US-82,Laredo,Texas,,,,,255,27.5477##99.4869
83,US-83,Lubbock,Texas,,,,,249,33.5665#101.8867
84,US-84,Madison,Wisconsin,,,,,249,43.0878##89.4301
85,US-85,Gilbert,Arizona,,,,,248,33.3102#111.7422
86,US-86,Norfolk,Virginia,,,,,246,36.9230##76.2446
87,US-87,Reno,Nevada,,,,,241,39.4745#119.7765
